Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.990002,33.07389,135935,33.42857143,407593.4278,3659914.14
-111.9900022,33.0738818,135936,32.85714286,407593.4006,3659913.231
-111.9900012,33.0738734,135937,33.53846154,407593.4852,3659912.299
-111.9899991,33.0738653,135938,33.64285714,407593.6727,3659911.399
-111.9899987,33.0738574,135939,32.35714286,407593.7018,3659910.523
-111.9900012,33.0738491,135940,32.69230769,407593.4598,3659909.605
-111.9900027,33.0738407,135941,35.78571429,407593.311,3659908.675
-111.9900031,33.073832,135942,36.76923077,407593.2645,3659907.711
-111.9900036,33.0738232,135943,36.35714286,407593.2086,3659906.735
-111.9900055,33.0738146,135944,35.71428571,407593.0223,3659905.784
-111.9900052,33.0738063,135945,37.46153846,407593.0416,3659904.863
-111.9900038,33.0737983,135946,37.28571429,407593.1639,3659903.975
-111.9900026,33.0737901,135947,37.57142857,407593.2674,3659903.065
-111.990001,33.073782,135948,36.92307692,407593.4083,3659902.165
-111.9900012,33.0737739,135949,37.28571429,407593.3811,3659901.267
-111.9900019,33.0737655,135950,38.84615385,407593.307,3659900.337
-111.9900027,33.0737573,135951,40.71428571,407593.2238,3659899.428
-111.9900016,33.0737491,135952,40,407593.3179,3659898.518
-111.9900011,33.0737408,135953,36.30769231,407593.3559,3659897.598
-111.9900026,33.0737325,135954,34.92857143,407593.2072,3659896.679
-111.9900021,33.073724,135955,38.64285714,407593.2449,3659895.736
-111.99,33.0737158,135956,42.15384615,407593.4324,3659894.825
-111.9899986,33.0737076,135957,36.42857143,407593.5545,3659893.915
-111.9899992,33.0736994,135958,32,407593.4899,3659893.006
-111.9900017,33.0736911,135959,30.14285714,407593.2479,3659892.088
-111.9900032,33.0736828,140000,31.35714286,407593.0992,3659891.169
-111.990003,33.0736742,140001,32.69230769,407593.1089,3659890.215
-111.9900025,33.0736659,140002,33,407593.1469,3659889.295
-111.9900017,33.0736579,140003,31.92307692,407593.2132,3659888.407
-111.9900017,33.0736498,140004,32.07142857,407593.2047,3659887.509
-111.9899984,33.073641,140005,34.5,407593.5035,3659886.531
-111.9899961,33.0736324,140006,32.92307692,407593.7092,3659885.575
-111.9899952,33.0736237,140007,32.85714286,407593.7842,3659884.61
-111.9899943,33.0736152,140008,33.64285714,407593.8593,3659883.667
-111.9899951,33.0736067,140009,32.76923077,407593.7757,3659882.725
-111.9899971,33.0735982,140010,33,407593.5801,3659881.784
-111.9899959,33.07359,140011,32.57142857,407593.6836,3659880.874
-111.9899942,33.0735816,140012,33.15384615,407593.8335,3659879.941
-111.9899938,33.0735732,140013,36.28571429,407593.862,3659879.01
-111.9899946,33.0735652,140014,35.38461538,407593.779,3659878.123
-111.9899973,33.073557,140015,34.14285714,407593.5184,3659877.217
-111.9899976,33.0735489,140016,32.21428571,407593.4819,3659876.319
-111.9899958,33.0735407,140017,31.07692308,407593.6414,3659875.408
-111.9899952,33.0735323,140018,30.85714286,407593.6886,3659874.476
-111.9899965,33.073524,140019,30.46153846,407593.5586,3659873.557
-111.9899979,33.0735156,140020,31.85714286,407593.4191,3659872.627
-111.9899991,33.0735071,140021,29.07142857,407593.2982,3659871.686
-111.9900008,33.0734987,140022,30.38461538,407593.1307,3659870.756
-111.9899999,33.0734905,140023,32.64285714,407593.2062,3659869.846
-111.9899985,33.0734824,140024,32.07142857,407593.3284,3659868.947
-111.989998,33.0734743,140025,29.53846154,407593.3666,3659868.049
-111.9899982,33.0734661,140026,29.57142857,407593.3394,3659867.14
-111.9899975,33.073458,140027,29.07142857,407593.3962,3659866.241
-111.9899968,33.0734498,140028,29.30769231,407593.453,3659865.331
-111.9899979,33.0734416,140029,31.28571429,407593.3417,3659864.423
-111.9899991,33.0734331,140030,32.53846154,407593.2208,3659863.482
-111.9899962,33.0734246,140031,32.57142857,407593.4827,3659862.537
-111.9899925,33.0734163,140032,32.35714286,407593.8193,3659861.613
-111.9899912,33.073408,140033,33.07692308,407593.932,3659860.692
-111.9899919,33.0733994,140034,32.57142857,407593.8577,3659859.739
-111.9899941,33.0733909,140035,33.5,407593.6434,3659858.799
-111.9899948,33.0733828,140036,32.46153846,407593.5696,3659857.901
-111.9899946,33.0733745,140037,32.21428571,407593.5796,3659856.981
-111.9899949,33.073366,140038,35.38461538,407593.5427,3659856.039
-111.9899939,33.073358,140039,37.71428571,407593.6277,3659855.151
-111.9899931,33.0733548,140040,36.28571429,407593.699,3659854.795
-111.9899937,33.0733541,140041,35.69230769,407593.6423,3659854.718
-111.9899933,33.0733522,140042,33.57142857,407593.6777,3659854.507
-111.9899931,33.0733516,140043,31.28571429,407593.6957,3659854.441
-111.9899934,33.0733518,140044,32.07692308,407593.6679,3659854.463
-111.9899933,33.0733491,140045,30.21428571,407593.6744,3659854.164
-111.989992,33.0733449,140046,26.76923077,407593.7914,3659853.697
-111.9899916,33.0733417,140047,26.5,407593.8254,3659853.342
-111.9899913,33.0733385,140048,27.5,407593.85,3659852.987
-111.98999,33.073335,140049,26.53846154,407593.9677,3659852.598
-111.9899862,33.0733307,140050,28.78571429,407594.3179,3659852.117
-111.9899837,33.0733266,140051,29.14285714,407594.547,3659851.661
-111.9899855,33.0733238,140052,28.61538462,407594.376,3659851.352
-111.9899882,33.0733208,140053,25.14285714,407594.1209,3659851.022
-111.9899891,33.0733173,140054,17.61538462,407594.0332,3659850.634
-111.9899873,33.0733128,140055,20.78571429,407594.1965,3659850.134
-111.9899856,33.0733069,140056,21.28571429,407594.349,3659849.478
-111.9899862,33.0733023,140057,21.38461538,407594.2882,3659848.969
-111.9899876,33.073294,140058,21.71428571,407594.1489,3659848.05
-111.9899902,33.0732876,140059,16.07142857,407593.8995,3659847.343
-111.9899917,33.0732873,140100,12.38461538,407593.7592,3659847.311
-111.9899913,33.0732892,140101,12.07142857,407593.7985,3659847.521
-111.9899937,33.0732855,140102,12.23076923,407593.5706,3659847.113
-111.9899985,33.0732763,140103,14.57142857,407593.1129,3659846.097
-111.9900019,33.0732743,140104,23.5,407592.7934,3659845.878
-111.9900049,33.0732764,140105,24.38461538,407592.5156,3659846.114
