Longitude,Latitude,Elevation,mEast,mNorth,Fix_Type,UTC_Time,Speed,Course,SF_1,SF_2,SF_3,SF_4,F14,F15
-111.978862,33.079003,358.06,408638.5413,3660471.202,1,185257.6,0.09,91.9,0,VERT,QUAD,34,,
-111.978862,33.079002,358.03,408638.5412,3660471.191,1,185257.8,0.03,221.3,0,VERT,QUAD,34,,
-111.978862,33.079002,357.99,408638.5503,3660471.169,1,185258.6,0.85,151.3,0,VERT,QUAD,34,,
-111.978862,33.079002,358.04,408638.5411,3660471.18,1,185300.2,0.04,173.1,0,VERT,QUAD,35,,
-111.978859,33.079001,357.81,408638.8572,3660471.044,2,185300.8,0.1,28.6,0,VERT,QUAD,34,,
-111.978857,33.079,357.69,408639.0431,3660470.965,2,185301.2,0.23,38.9,0,VERT,QUAD,35,,
-111.978857,33.079,357.68,408639.043,3660470.953,2,185301.6,0.22,178.3,0,VERT,QUAD,35,,
-111.978855,33.079,357.62,408639.1638,3660470.897,2,185302.2,0.06,229.7,0,VERT,QUAD,34,,
-111.978856,33.079,357.58,408639.1545,3660470.897,2,185302.6,0.34,280.2,0,VERT,QUAD,34,,
-111.978854,33.078999,357.51,408639.2941,3660470.851,2,185303.2,0.1,63,0,VERT,QUAD,35,,
-111.978854,33.078999,357.48,408639.3313,3660470.84,2,185304.2,0.04,226.9,0,VERT,QUAD,34,,
-111.978854,33.078999,357.45,408639.322,3660470.84,2,185304.4,0.09,302.5,0,VERT,QUAD,34,,
-111.978854,33.078999,357.39,408639.35,3660470.84,2,185304.8,0.44,90.2,0,VERT,QUAD,34,,
-111.978854,33.078998,357.3,408639.3208,3660470.707,2,185305.4,0.64,272.3,0,VERT,QUAD,34,,
-111.978854,33.078998,357.29,408639.33,3660470.696,2,185305.6,0.4,170.7,0,VERT,QUAD,34,,
-111.978854,33.078998,357.28,408639.3488,3660470.707,2,185305.8,0.26,57,0,VERT,QUAD,34,,
-111.978854,33.078996,357.24,408639.3377,3660470.518,2,185306.2,0.45,341.3,0,VERT,QUAD,34,,
-111.978854,33.078997,357.25,408639.3284,3660470.529,2,185306.4,0.23,309.1,0,VERT,QUAD,34,,
-111.978854,33.078995,357.18,408639.3457,3660470.374,2,185307.2,0.15,345.3,0,VERT,QUAD,34,,
-111.978854,33.078995,357.19,408639.3365,3660470.396,2,185307.4,0.19,331.6,0,VERT,QUAD,35,,
-111.978854,33.078995,357.15,408639.3265,3660470.319,2,185308.4,0.27,331.3,0,VERT,QUAD,34,,
-111.978854,33.078994,357.12,408639.3168,3660470.286,2,185309.2,0.04,306.3,0,VERT,QUAD,34,,
-111.978854,33.078994,357.16,408639.3075,3660470.286,2,185309.4,0.26,271.7,0,VERT,QUAD,34,,
-111.978854,33.078994,357.16,408639.3166,3660470.263,2,185309.8,0.22,149,0,VERT,QUAD,33,,
-111.978854,33.078994,357.11,408639.3164,3660470.241,2,185310.2,0.08,31.3,0,VERT,QUAD,33,,
-111.978854,33.078994,357.09,408639.3163,3660470.23,2,185311.2,0.07,350.6,0,VERT,QUAD,34,,
