Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.9899751,33.0732606,145711,22.69230769,407595.2808,3659844.336
-111.9899766,33.0732605,145712,23.57142857,407595.1406,3659844.326
-111.9899784,33.0732604,145713,23.28571429,407594.9725,3659844.317
-111.9899804,33.0732601,145714,24,407594.7855,3659844.285
-111.9899824,33.0732599,145715,24.35714286,407594.5986,3659844.265
-111.9899842,33.0732597,145716,24.07692308,407594.4304,3659844.244
-111.9899852,33.0732597,145717,24,407594.337,3659844.245
-111.989986,33.0732602,145718,24,407594.2629,3659844.301
-111.9899867,33.0732609,145719,24.07692308,407594.1983,3659844.379
-111.9899873,33.0732617,145720,24.35714286,407594.1431,3659844.469
-111.9899885,33.0732624,145721,26.78571429,407594.0318,3659844.547
-111.9899914,33.0732612,145722,26.30769231,407593.7599,3659844.417
-111.9899951,33.0732592,145723,23.64285714,407593.4124,3659844.198
-111.9899996,33.0732566,145724,21.07692308,407592.9896,3659843.914
-111.9900063,33.0732521,145725,21.64285714,407592.3595,3659843.421
-111.9900111,33.07325,145726,23.92857143,407591.9093,3659843.192
-111.9900131,33.0732508,145727,24.92307692,407591.7234,3659843.283
-111.9900155,33.0732517,145728,27.35714286,407591.5003,3659843.385
-111.9900189,33.0732521,145729,28.21428571,407591.1834,3659843.432
-111.9900224,33.0732525,145730,28.30769231,407590.8571,3659843.479
-111.9900255,33.0732532,145731,28.14285714,407590.5685,3659843.56
-111.9900276,33.0732544,145732,27.92307692,407590.3737,3659843.695
-111.9900294,33.0732559,145733,28,407590.2072,3659843.863
-111.9900316,33.0732572,145734,28.35714286,407590.0032,3659844.009
-111.9900325,33.0732589,145735,30.15384615,407589.921,3659844.198
-111.9900322,33.0732606,145736,32.14285714,407589.9508,3659844.386
-111.9900326,33.0732619,145737,34.35714286,407589.9148,3659844.531
-111.9900333,33.0732632,145738,36.69230769,407589.8508,3659844.675
-111.9900346,33.0732646,145739,38.57142857,407589.731,3659844.832
-111.9900377,33.073266,145740,40.53846154,407589.443,3659844.99
-111.9900394,33.0732666,145741,44.07142857,407589.285,3659845.058
-111.9900396,33.0732666,145742,44.14285714,407589.2663,3659845.058
-111.9900398,33.0732665,145743,44,407589.2475,3659845.047
-111.9900396,33.0732666,145744,44.14285714,407589.2663,3659845.058
-111.990037,33.0732709,145745,45.35714286,407589.5135,3659845.532
-111.9900374,33.0732786,145746,45.07692308,407589.4842,3659846.386
-111.9900392,33.0732857,145747,47.28571429,407589.3236,3659847.175
-111.9900395,33.0732927,145748,44.69230769,407589.3029,3659847.951
-111.9900397,33.0732995,145749,45.64285714,407589.2914,3659848.705
-111.9900389,33.0733072,145750,42.28571429,407589.3741,3659849.558
-111.9900383,33.0733159,145751,39.76923077,407589.4392,3659850.522
-111.9900372,33.0733243,145752,38.78571429,407589.5507,3659851.453
-111.9900358,33.0733325,145753,33.42857143,407589.6899,3659852.361
-111.9900369,33.0733407,145754,29.84615385,407589.5958,3659853.271
-111.9900385,33.0733492,145755,30.5,407589.4554,3659854.215
-111.9900409,33.0733574,145756,33.23076923,407589.2399,3659855.126
-111.9900426,33.0733656,145757,36.14285714,407589.0898,3659856.036
-111.9900433,33.0733742,145758,31.5,407589.0334,3659856.99
-111.990045,33.0733825,145759,33.15384615,407588.8834,3659857.912
-111.9900443,33.0733908,145800,32.35714286,407588.9575,3659858.832
-111.9900434,33.0733994,145801,31.92307692,407589.0505,3659859.784
-111.9900428,33.073408,145802,31.5,407589.1155,3659860.737
-111.9900432,33.0734164,145803,30.57142857,407589.0869,3659861.669
-111.9900466,33.0734247,145804,32.07692308,407588.7782,3659862.592
-111.9900452,33.073433,145805,31.85714286,407588.9176,3659863.511
-111.9900418,33.0734412,145806,28.35714286,407589.2435,3659864.417
-111.9900415,33.0734498,145807,30.76923077,407589.2805,3659865.371
-111.9900467,33.0734581,145808,32.92857143,407588.8038,3659866.295
-111.990049,33.0734667,145809,32.85714286,407588.5981,3659867.251
-111.9900477,33.0734751,145810,29.07692308,407588.7282,3659868.181
-111.9900472,33.0734833,145811,27.57142857,407588.7835,3659869.09
-111.9900462,33.0734915,145812,25.38461538,407588.8854,3659869.998
-111.9900449,33.0734998,145813,28.78571429,407589.0154,3659870.917
-111.9900434,33.0735083,145814,28.14285714,407589.1643,3659871.858
-111.9900443,33.0735164,145815,29.61538462,407589.0888,3659872.757
-111.9900446,33.0735244,145816,32.28571429,407589.0691,3659873.644
-111.9900443,33.0735327,145817,31.57142857,407589.1058,3659874.564
-111.9900441,33.0735411,145818,31.84615385,407589.1333,3659875.495
-111.9900434,33.0735495,145819,32.28571429,407589.2074,3659876.426
-111.990042,33.0735581,145820,32.92307692,407589.3471,3659877.378
-111.9900425,33.0735666,145821,32.14285714,407589.3093,3659878.321
-111.9900422,33.0735752,145822,32.35714286,407589.3463,3659879.274
-111.9900408,33.0735837,145823,31.23076923,407589.4859,3659880.215
-111.9900409,33.073592,145824,32.42857143,407589.4852,3659881.135
-111.9900408,33.0736003,145825,32,407589.5032,3659882.056
-111.990043,33.0736088,145826,30.84615385,407589.3067,3659883
-111.9900466,33.0736172,145827,32.42857143,407588.9795,3659883.934
-111.9900478,33.0736255,145828,31.92857143,407588.8762,3659884.856
-111.9900456,33.0736338,145829,31.84615385,407589.0902,3659885.774
-111.9900427,33.0736421,145830,32.42857143,407589.3696,3659886.692
-111.9900438,33.0736503,145831,31.92307692,407589.2755,3659887.602
-111.9900459,33.0736586,145832,32.57142857,407589.0881,3659888.524
-111.9900479,33.073667,145833,33.21428571,407588.9102,3659889.457
-111.9900486,33.0736755,145834,32.84615385,407588.8538,3659890.4
-111.9900475,33.0736838,145835,32.92857143,407588.9651,3659891.319
-111.9900469,33.0736924,145836,33,407589.0301,3659892.272
-111.9900479,33.073701,145837,32.28571429,407588.9458,3659893.226
-111.9900493,33.0737092,145838,33.28571429,407588.8236,3659894.137
-111.9900477,33.0737175,145839,32.46153846,407588.9817,3659895.055
-111.9900454,33.0737259,145840,32,407589.2052,3659895.985
-111.9900463,33.0737344,145841,34.07142857,407589.13,3659896.928
-111.9900482,33.0737429,145842,36.38461538,407588.9616,3659897.872
-111.9900484,33.0737513,145843,36.14285714,407588.9517,3659898.803
-111.9900473,33.0737599,145844,33.61538462,407589.0633,3659899.756
-111.9900469,33.0737683,145845,32.28571429,407589.1095,3659900.687
-111.9900472,33.0737765,145846,32.14285714,407589.09,3659901.596
-111.9900463,33.0737848,145847,33.46153846,407589.1827,3659902.516
-111.9900447,33.0737932,145848,35.64285714,407589.3409,3659903.445
-111.9900435,33.0738017,145849,34,407589.4618,3659904.387
-111.9900447,33.0738103,145850,32.38461538,407589.3587,3659905.341
-111.9900463,33.0738188,145851,36.07142857,407589.2183,3659906.285
-111.9900472,33.0738272,145852,35,407589.143,3659907.217
-111.9900481,33.0738355,145853,34.5,407589.0677,3659908.138
-111.9900476,33.0738441,145854,33,407589.1234,3659909.091
-111.9900469,33.0738527,145855,29.46153846,407589.1977,3659910.044
-111.9900474,33.0738612,145856,28.5,407589.1599,3659910.987
-111.9900466,33.0738696,145857,27.64285714,407589.2434,3659911.917
-111.9900463,33.0738782,145858,26,407589.2804,3659912.871
-111.9900464,33.0738867,145859,26.28571429,407589.2799,3659913.813
-111.9900457,33.0738951,145900,28,407589.3541,3659914.744
-111.9900463,33.0739035,145901,26.85714286,407589.3068,3659915.676
-111.990048,33.073912,145902,29.85714286,407589.157,3659916.62
-111.9900489,33.0739205,145903,32.23076923,407589.0819,3659917.563
-111.990048,33.073929,145904,32.57142857,407589.1748,3659918.504
-111.9900474,33.0739374,145905,32.78571429,407589.2396,3659919.435
-111.9900475,33.0739458,145906,35.23076923,407589.239,3659920.366
-111.9900459,33.0739545,145907,35.64285714,407589.3975,3659921.33
-111.9900459,33.0739633,145908,35,407589.4067,3659922.305
-111.9900455,33.073972,145909,35.57142857,407589.4531,3659923.269
-111.9900454,33.0739805,145910,35.71428571,407589.4714,3659924.212
-111.9900457,33.073989,145911,35.69230769,407589.4522,3659925.154
-111.9900455,33.0739975,145912,36.21428571,407589.4798,3659926.097
-111.9900461,33.0740061,145913,35.78571429,407589.4328,3659927.051
-111.9900476,33.0740145,145914,33.69230769,407589.3015,3659927.983
-111.9900483,33.0740229,145915,35.35714286,407589.245,3659928.915
-111.99005,33.0740313,145916,33.92307692,407589.0951,3659929.848
-111.9900515,33.0740395,145917,35,407588.9636,3659930.758
-111.9900516,33.074048,145918,34.07142857,407588.9632,3659931.701
-111.9900527,33.0740566,145919,35.92307692,407588.8695,3659932.655
-111.9900526,33.074065,145920,36.07142857,407588.8876,3659933.586
-111.9900516,33.0740736,145921,33.28571429,407588.99,3659934.539
-111.9900514,33.0740824,145922,35.15384615,407589.0178,3659935.514
-111.9900507,33.0740918,145923,36.85714286,407589.093,3659936.556
-111.9900536,33.0741003,145924,34.15384615,407588.8312,3659937.501
-111.990057,33.0741076,145925,36.57142857,407588.5215,3659938.313
-111.9900548,33.074116,145926,36.14285714,407588.7356,3659939.243
-111.990051,33.0741249,145927,35.61538462,407589.0996,3659940.226
-111.9900496,33.0741335,145928,35.78571429,407589.2393,3659941.178
-111.9900497,33.0741421,145929,36.53846154,407589.2389,3659942.132
-111.9900505,33.0741505,145930,37.64285714,407589.173,3659943.064
-111.9900523,33.0741588,145931,36.92857143,407589.0137,3659943.986
-111.9900542,33.0741669,145932,35.84615385,407588.8448,3659944.885
-111.9900552,33.0741754,145933,36.28571429,407588.7604,3659945.829
-111.9900542,33.074184,145934,35.5,407588.8627,3659946.781
-111.9900527,33.0741924,145935,32.84615385,407589.0115,3659947.711
-111.9900523,33.0742008,145936,34.78571429,407589.0576,3659948.642
-111.9900516,33.0742094,145937,36,407589.132,3659949.595
-111.9900506,33.0742182,145938,36.42857143,407589.2345,3659950.57
-111.9900511,33.0742268,145939,37.28571429,407589.1968,3659951.524
-111.9900504,33.0742354,145940,39.23076923,407589.2712,3659952.476
-111.9900495,33.0742439,145941,37,407589.364,3659953.418
-111.9900502,33.0742522,145942,39.42857143,407589.3074,3659954.339
-111.9900507,33.0742605,145943,41,407589.2694,3659955.259
-111.9900502,33.0742693,145944,43.5,407589.3253,3659956.235
-111.9900501,33.0742779,145945,43.76923077,407589.3436,3659957.188
-111.9900501,33.0742863,145946,41.14285714,407589.3524,3659958.119
-111.9900495,33.0742947,145947,40,407589.4172,3659959.05
-111.9900488,33.0743033,145948,42.23076923,407589.4915,3659960.003
-111.9900499,33.0743119,145949,41,407589.3978,3659960.957
-111.9900514,33.0743206,145950,41.30769231,407589.2669,3659961.923
-111.9900517,33.0743292,145951,40.92857143,407589.2479,3659962.877
-111.9900505,33.0743377,145952,40,407589.3688,3659963.818
-111.99005,33.0743463,145953,39.92307692,407589.4244,3659964.771
-111.9900501,33.0743549,145954,41.21428571,407589.4241,3659965.725
-111.9900501,33.0743636,145955,38.78571429,407589.4332,3659966.689
-111.9900508,33.0743722,145956,40.53846154,407589.3769,3659967.644
