Year,SOIL_DATE,Plot,Core,Depth,SLSND,SLSLT,SLCLY,SLSND2,SLSLT2,SLCLY2,UTMX,UTMY
2016,2016-05-01,603,2016-p06-3,100,59.5,16.3,24.2,68.7,18.3,13.0,408843.8294,3660464.404
2016,2016-05-01,603,2016-p06-3,140,70.2,16.4,13.4,81.2,14.3,4.5,408843.8294,3660464.404
2016,2016-05-01,603,2016-p06-3,180,69.5,13.7,16.8,79.0,14.6,6.4,408843.8294,3660464.404
2016,2016-05-01,604,2016-p06-4,20,56.6,17.6,25.8,66.4,19.6,14.0,408843.2049,3660424.401
2016,2016-05-01,604,2016-p06-4,60,63.2,20.3,16.5,73.7,21.2,5.1,408843.2049,3660424.401
2016,2016-05-01,604,2016-p06-4,100,59.5,21.0,19.5,70.5,21.8,7.7,408843.2049,3660424.401
2016,2016-05-01,604,2016-p06-4,140,64.2,16.3,19.5,74.7,16.9,8.4,408843.2049,3660424.401
2016,2016-05-01,604,2016-p06-4,180,63.2,14.7,22.2,73.7,16.3,10.0,408843.2049,3660424.401
2016,2016-05-01,701,2016-p07-1,20,57.2,20.7,22.2,65.5,21.8,12.7,408830.8149,3660544.6259999997
2016,2016-05-01,701,2016-p07-1,60,56.5,17.3,26.2,62.7,21.3,16.0,408830.8149,3660544.6259999997
2016,2016-05-01,701,2016-p07-1,100,59.2,20.7,20.2,67.5,22.5,10.0,408830.8149,3660544.6259999997
2016,2016-05-01,701,2016-p07-1,140,51.8,26.0,22.2,60.0,29.2,10.9,408830.8149,3660544.6259999997
2016,2016-05-01,701,2016-p07-1,180,68.1,18.7,13.2,75.8,18.4,5.8,408830.8149,3660544.6259999997
2016,2016-05-01,702,2016-p07-2,20,49.9,18.3,31.8,61.2,21.5,17.3,408830.2069,3660504.623
2016,2016-05-01,702,2016-p07-2,60,57.8,14.0,28.2,65.9,17.3,16.8,408830.2069,3660504.623
2016,2016-05-01,702,2016-p07-2,100,53.5,26.3,20.2,63.2,28.3,8.5,408830.2069,3660504.623
2016,2016-05-01,702,2016-p07-2,140,44.1,27.7,28.2,53.5,34.2,12.3,408830.2069,3660504.623
2016,2016-05-01,702,2016-p07-2,180,52.6,25.3,22.2,63.2,27.3,9.5,408830.2069,3660504.623
2016,2016-05-01,703,2016-p07-3,20,53.8,23.4,22.8,64.1,23.9,12.0,408829.5952,3660464.62
2016,2016-05-01,703,2016-p07-3,60,55.2,27.7,17.2,66.0,27.3,6.7,408829.5952,3660464.62
2016,2016-05-01,703,2016-p07-3,100,56.2,30.0,13.8,65.4,30.2,4.4,408829.5952,3660464.62
2016,2016-05-01,703,2016-p07-3,140,47.5,24.3,28.2,56.9,28.6,14.5,408829.5952,3660464.62
2016,2016-05-01,703,2016-p07-3,180,55.2,20.7,24.2,64.4,23.0,12.6,408829.5952,3660464.62
2016,2016-05-01,704,2016-p07-4,20,56.6,18.0,25.4,65.6,20.3,14.0,408828.9992,3660424.617
2016,2016-05-01,704,2016-p07-4,60,68.9,12.3,18.8,80.1,11.1,8.9,408828.9992,3660424.617
2016,2016-05-01,704,2016-p07-4,100,71.5,10.7,17.8,82.1,10.3,7.5,408828.9992,3660424.617
2016,2016-05-01,704,2016-p07-4,140,67.5,17.3,15.2,78.0,16.9,5.1,408828.9992,3660424.617
2016,2016-05-01,704,2016-p07-4,180,68.9,17.3,13.8,80.1,16.4,3.5,408828.9992,3660424.617
2016,2016-05-01,801,2016-p08-1,20,50.3,20.3,29.4,59.4,25.1,15.5,408816.5918,3660544.842
2016,2016-05-01,801,2016-p08-1,60,58.3,24.3,17.4,66.8,26.6,6.6,408816.5918,3660544.842
2016,2016-05-01,801,2016-p08-1,100,51.9,21.6,26.4,59.6,27.7,12.7,408816.5918,3660544.842
2016,2016-05-01,801,2016-p08-1,140,62.6,21.6,15.8,73.7,22.7,3.6,408816.5918,3660544.842
2016,2016-05-01,801,2016-p08-1,180,66.6,17.6,15.8,78.0,17.0,5.1,408816.5918,3660544.842
2016,2016-05-01,802,2016-p08-2,20,52.2,19.0,28.8,62.3,21.7,16.0,408815.9862,3660504.839
2016,2016-05-01,802,2016-p08-2,60,47.9,21.3,30.8,57.2,24.4,18.3,408815.9862,3660504.839
2016,2016-05-01,802,2016-p08-2,100,55.6,29.3,15.1,67.5,28.9,3.6,408815.9862,3660504.839
2016,2016-05-01,802,2016-p08-2,140,44.3,26.3,29.4,53.2,33.8,13.0,408815.9862,3660504.839
2016,2016-05-01,802,2016-p08-2,180,67.9,15.7,16.4,78.0,16.0,6.1,408815.9862,3660504.839
2016,2016-05-01,803,2016-p08-3,20,53.9,21.0,25.2,64.4,23.4,12.3,408815.39,3660464.836
2016,2016-05-01,803,2016-p08-3,60,67.8,15.0,17.2,75.8,16.0,8.1,408815.39,3660464.836
2016,2016-05-01,803,2016-p08-3,100,57.1,21.7,21.2,66.6,20.9,12.4,408815.39,3660464.836
2016,2016-05-01,803,2016-p08-3,140,58.5,22.7,18.9,65.4,26.4,8.2,408815.39,3660464.836
2016,2016-05-01,803,2016-p08-3,180,62.4,22.4,15.2,71.2,23.4,5.4,408815.39,3660464.836
2016,2016-05-01,804,2016-p08-4,20,61.8,14.3,23.9,67.7,20.1,12.2,408814.777,3660424.834
