"","UTMX","UTMY","SLSND015","SLSND045","SLSND075","SLSND105","SLSND135","SLSND165","SLSLT015","SLSLT045","SLSLT075","SLSLT105","SLSLT135","SLSLT165","SLCLY015","SLCLY045","SLCLY075","SLCLY105","SLCLY135","SLCLY165","SLWP1015","SLWP1045","SLWP1075","SLWP1105","SLWP1135","SLWP1165","SLWP2015","SLWP2045","SLWP2075","SLWP2105","SLWP2135","SLWP2165","SLFC1015","SLFC1045","SLFC1075","SLFC1105","SLFC1135","SLFC1165"
"4802",409323,3659199,73.5166920856048,70.6515374999232,63.960936767253,68.0495014102289,73.300328995967,76.7266985045141,9.20286517663995,8.40690568303203,12.9311564204644,11.5588961195856,9.82888567860716,7.25408651036988,17.6189623785951,20.8351983766696,23.4951221339676,20.5581990721956,16.4003191962947,16.523934145958,0.131175055085736,0.152256853254719,0.162474804801944,0.139340042174459,0.126805038007234,0.151798434811014,0.139068395492802,0.176508814130059,0.202991566831891,0.170200759250778,0.154610317321774,0.169728325680498,0.229651888630198,0.264011400570237,0.280852993003796,0.267627031659984,0.236009324765571,0.263094945070196
"4803",409324,3659199,73.4235219578988,70.3812841979747,63.8268594249628,68.0816693395111,73.261139090819,76.7727634666946,9.26244437397072,8.49305966931536,12.9406393276274,11.5953967048292,9.86988980787043,7.21835634099571,17.645090510249,21.1000479916795,23.5931708518648,20.4361267439118,16.3986706738298,16.5243529779904,0.13167499686575,0.15285799270442,0.164119359893755,0.139447692470974,0.127058603123838,0.15209435223697,0.139795306768293,0.178809022821871,0.20354050336237,0.169612027987614,0.154440963789354,0.169338576499552,0.231608085893294,0.26693752699804,0.281666928265013,0.267205131457419,0.235288639314541,0.263482150872514
"4804",409325,3659199,73.3273112177499,70.114397507566,63.6968056504689,68.1146080893304,73.2206237043777,76.8128219491389,9.32486216366074,8.58338699518862,12.9505063588431,11.6337880126954,9.91741027909313,7.18537912535635,17.6689797374129,21.3546274976376,23.6865674870397,20.3080609805732,16.3972674381501,16.5261685150252,0.132172157780868,0.153454162749364,0.165767420634946,0.139584985827121,0.127335092456104,0.152401581720648,0.140523796130274,0.181054648717226,0.204052784027239,0.168976626432646,0.154270792142108,0.168937608525793,0.233503461538785,0.269787472724655,0.282451729680288,0.266752941205487,0.234566254501858,0.263861711372598
"4805",409326,3659199,73.2283637678862,69.8562014969651,63.5723658027203,68.1479052168458,73.1788090741233,76.8465002538099,9.39005422505725,8.67675881073756,12.9603770528169,11.6738435278102,9.97279367510712,7.1556146507552,17.6900755073102,21.5926458069147,23.7747165699355,20.1751446963307,16.3960137180556,16.5292450949214,0.132655516634496,0.154038833430707,0.167404292586854,0.139755594274552,0.127635645860071,0.152719469285854,0.141218089347158,0.183193280164601,0.204504742625484,0.168309416942129,0.154103131776493,0.168541804860483,0.235305511578478,0.272514290822109,0.283201588028725,0.266281752720733,0.233866691573715,0.264233223522824
"4806",409327,3659199,73.1262746395912,69.6122546566091,63.4551415006296,68.180198517194,73.1356127237236,76.871802413062,9.45827869840362,8.77261411007414,12.9700172805356,11.7156897288162,10.0376931360098,7.12995949173054,17.7078368841268,21.8064042764896,23.8566896722257,20.0389499875126,16.394989896245,16.5342559582297,0.133110860293899,0.15460394656067,0.169011549475072,0.139966842076568,0.127962431178195,0.153048673369715,0.141836597974884,0.185163071376133,0.204866504795115,0.16762782021328,0.153944654914266,0.168179675466261,0.236967370597491,0.275056125184127,0.283906381166629,0.265803028960615,0.23321995076017,0.264598417494818
"4807",409328,3659199,73.0199993547309,69.3889282775711,63.3468740024557,68.2090357790302,73.0908339116699,76.8850529769587,9.53010551520201,8.87087116941136,12.9793090578235,11.7598173058592,10.1142353111365,7.10980353130546,17.7216177243853,21.9860781396751,23.9311777894995,19.9016554338471,16.3944489752787,16.542674091258,0.133519476208106,0.15513931123282,0.170565881530073,0.140231176924372,0.128318930967662,0.153391276540195,0.142328748703768,0.186886987111139,0.205099223200373,0.16695383036895,0.153806186716293,0.167893963583711,0.238423410628733,0.277330658164611,0.284551047495471,0.265329957774495,0.232664556726217,0.264961286546935
"4808",409329,3659199,72.9079903584329,69.1934694074958,63.2494525006397,68.2309846122264,73.0441710403897,76.8811493328611,9.6063603349715,8.97182097344891,12.9882249375003,11.8070288514255,10.2050127052435,7.09697033918221,17.7306298719538,22.1198221475754,23.9965410146241,19.7660299149046,16.3947900024188,16.5566391057657,0.133858422143484,0.155632758852212,0.172039558755507,0.140566056192458,0.128709839866136,0.153750607664263,0.142635573335077,0.188273297591463,0.205155575579284,0.166314093098992,0.153702432994115,0.167740074710236,0.239590547757796,0.279236446660467,0.285116172483717,0.264877759308724,0.232247253703441,0.265327782737004
"4809",409330,3659199,72.7886123895787,69.0328748594909,63.1646519026948,68.2424718645871,72.9953191203683,76.8548013164766,9.68790943545208,9.07587528247712,12.9967871315812,11.8581803479746,10.3126268295271,7.09331792250062,17.7340807716111,22.1959666749689,24.0511340269056,19.6349082018209,16.3964499299792,16.5784005902107,0.134104903170432,0.15607227033794,0.173405158329655,0.14098966202199,0.129139909406153,0.154130188320311,0.142699762790428,0.189231730854058,0.204988589989001,0.165735233753186,0.153648665535421,0.167774112424569,0.240384872291435,0.280672309273179,0.285582039034647,0.264461160254707,0.232014265885407,0.265704170422549
"4810",409331,3659199,72.6609061076742,68.9113920369303,63.0935596500008,68.2414967652366,72.9441635690309,76.8029677505668,9.77524929838066,9.18312487209926,13.0050035333477,11.9136718396259,10.4386927698079,7.09993237925813,17.7315102815194,22.2076668540951,24.0939609387301,19.5100681952652,16.3996955276371,16.6092438599493,0.13424548614234,0.156450424306514,0.174645325972812,0.141511674415772,0.129611544971732,0.154531621927716,0.142486820789198,0.189707976821133,0.204570257532408,0.16523364625441,0.153653758880032,0.168028500534149,0.240756443868354,0.281578026941018,0.285936818368308,0.264088607527283,0.231992674613406,0.266093757107162
"4811",409332,3659199,72.5252200702338,68.8284134899143,63.0360906029438,68.229051557488,72.890942686526,76.7268782180851,9.86816466883075,9.29297754174886,13.0128166142537,11.9730238841033,10.582976126511,7.11645673739303,17.723080535754,22.1567984935208,24.1252229110548,19.3913030515933,16.4044522927705,16.6486009702488,0.134283790049306,0.156768110598705,0.175760935156816,0.14212551833518,0.130122797262977,0.154952823190571,0.142002840370035,0.189712607893,0.203907163433594,0.164806958659974,0.153714364498161,0.168491591441945,0.240718373769829,0.281968404691364,0.286183409999326,0.263757410495369,0.232174833107819,0.266494168778915
