"","UTMX","UTMY","SLSND015","SLSND045","SLSND075","SLSND105","SLSND135","SLSND165","SLSND195","SLSND225","SLSND255","SLSND285","SLSLT015","SLSLT045","SLSLT075","SLSLT105","SLSLT135","SLSLT165","SLSLT195","SLSLT225","SLSLT255","SLSLT285","SLCLY015","SLCLY045","SLCLY075","SLCLY105","SLCLY135","SLCLY165","SLCLY195","SLCLY225","SLCLY255","SLCLY285","SLWP1015","SLWP1045","SLWP1075","SLWP1105","SLWP1135","SLWP1165","SLWP2015","SLWP2045","SLWP2075","SLWP2105","SLWP2135","SLWP2165","SLFC1015","SLFC1045","SLFC1075","SLFC1105","SLFC1135","SLFC1165"
"4196",409070,3659307,65.8476052719079,65.1981351894736,62.7379807369614,60.7279218224568,63.2230410457112,65.3932749729597,70.1862468704057,74.0375025194682,75.4927378847779,70.710742072677,13.6826355292927,13.5767655494627,15.9838356600471,16.4039155875031,15.9615415462968,13.6690626513467,10.6412748046652,9.24899492692809,9.61327998730254,13.2678864889048,20.408155238369,21.0183990994898,21.479496792568,22.7759492922954,21.9089663200197,20.8957197131541,18.3685756288276,16.604816922445,15.7987889427067,16.449229859346,0.0693388210176998,0.0723603689022735,0.0761213606611947,0.0786840410096943,0.0758804944194415,0.0696587265495958,0.0778463474461621,0.075801207397403,0.0781615893571876,0.0905909218648135,0.0891718524619813,0.0815521298326861,0.131045056083013,0.129950477148941,0.133761857321278,0.151111778397161,0.148501241499584,0.137446753418012
"4197",409071,3659307,65.9641776513069,65.2296466861717,62.7643631904798,60.7159243377497,63.0632606629606,65.4006771514124,70.1167252187843,73.8760558311852,75.1737724412821,70.1535540858006,13.7045094207415,13.5645279904321,15.9994004937879,16.4436479178365,16.0747691871172,13.6773798252654,10.6853087173477,9.28250181782925,9.76720020918898,13.4640928952769,20.3190737772628,20.9308744484593,21.446906189816,22.7599569369341,21.9149676489204,20.9243468253893,18.3808136893134,16.6961720100544,15.8761525442184,16.3085409326661,0.0693102974497088,0.0722046350724904,0.0760452587148833,0.0786638046623184,0.0761860410231853,0.0697196918406831,0.0778287857266606,0.0757247201588637,0.0778878056425103,0.0906328963560427,0.089481294656466,0.0816721943697766,0.131214286235609,0.130026996224194,0.133560667858445,0.151305905788684,0.149152920175385,0.137973682544009
"4198",409072,3659307,66.0815837996725,65.2604387741306,62.7931706386976,60.697541308052,62.9086023930409,65.4094762277212,70.0669585896546,73.7364757195507,74.8560210290919,69.6245247224825,13.7267565455616,13.5513344326948,16.0183280392447,16.4816271857472,16.1915880647697,13.6858541506326,10.7214522930652,9.3145945463155,9.92362637319609,13.6475014009111,20.2298117024871,20.8188805834471,21.4178613891191,22.7512928771302,21.9209198959944,20.9502205904782,18.3868087489356,16.7778889012243,15.9472382994708,16.1570789813041,0.0692815732713118,0.0720553002731556,0.0759756649762823,0.0786501663001807,0.0764805214007867,0.0697761171757647,0.0778132032796008,0.0756523277495896,0.0776383903309286,0.0906817614927657,0.0897825715442819,0.0817855652329393,0.131391377772523,0.130110218847144,0.133406941656701,0.151521041966662,0.149815299577384,0.138502436987555
"4199",409073,3659307,66.1996376502874,65.2905646048651,62.8259569468969,60.6733802460136,62.7587531606752,65.4198335721135,70.0370574878404,73.6184435075613,74.5407878841747,69.1218930778044,13.7492750363252,13.5371627621647,16.0402801797056,16.5173571359675,16.3118387308599,13.694238042751,10.7491392487431,9.34514334683107,10.0819471820564,13.8212693619221,20.1405884948069,20.6783788570202,21.3922580367415,22.7497986385139,21.9268395906309,20.9730312577653,18.3865342526474,16.8506444050907,16.012078157423,15.995460522983,0.0692526554667452,0.0719125697043891,0.0759125284196657,0.0786430669005405,0.0767631095511999,0.0698278697277358,0.0777997147366192,0.075584335280278,0.0774113238082789,0.0907374099587926,0.0900755112637972,0.0818922250649579,0.131575604583738,0.130199939494201,0.133295390752537,0.151756511601035,0.150486763796864,0.139032320080296
"4200",409074,3659307,66.3184255348881,65.3199961676211,62.8632966868716,60.6431648613313,62.6128585843994,65.4318437480724,70.0267887964186,73.5207115898858,74.2284923067612,68.6410839234935,13.7718823102268,13.5220294900575,16.0650974230625,16.551047382902,16.4354991642982,13.7022897736732,10.7682751740879,9.37437044636884,10.2419988797577,13.9896464065897,20.0515224009338,20.505549063537,21.370092165335,22.7556278689405,21.9328540212962,20.9926490051821,18.3798967771277,16.9147521915895,16.0705508091631,15.8236569316562,0.0692236200271292,0.0717767834596054,0.0758562546327257,0.0786428966396698,0.0770337649889257,0.0698749707865765,0.0777884570702314,0.0755212697563199,0.0772059675019148,0.0908000267402529,0.0903608047183112,0.0819924140047262,0.131766728548249,0.130296459636699,0.133225955360934,0.152013322271576,0.151167309657874,0.139563151359914
"4201",409075,3659307,66.4380602381319,65.3486745454464,62.9055646278088,60.606393076482,62.4699704869824,65.445589567213,70.0361481943504,73.4419552941107,73.9192937517435,68.1771125837672,13.7944013488458,13.5059709006335,16.0926578679294,16.5830840718867,16.5625497524174,13.7097228871228,10.7788501360588,9.40257239571235,10.4037231020328,14.1570062268327,19.9627146121193,20.2960056507365,21.3513802734106,22.7690053971426,21.9391209106768,21.0089962854593,18.3668093645372,16.9704703298711,16.1225635119977,15.6415807572834,0.069194565712223,0.0716483356794062,0.0758073671501456,0.078650157018211,0.0772926721651516,0.0699174891905516,0.0777795658432319,0.0754637203107459,0.077022044163493,0.0908698753360082,0.0906394186658566,0.082086408067842,0.13196466761049,0.130400221703723,0.133199868113036,0.152292943664,0.151857330762898,0.140094891909613
"4202",409076,3659307,66.5586333806445,65.3765145454485,62.953098827438,60.5624787336383,62.3291487388955,65.4611545324854,70.0654461511863,73.380922615856,73.6131743846811,67.7250742595876,13.8166531049898,13.4890406599285,16.1228456186382,16.6139016185212,16.6929370808056,13.7161835072669,10.7808695691839,9.43006034500828,10.5671010089469,14.3276978941768,19.8742810683408,20.0445959377027,21.3361443480019,22.7901830100623,21.9458105091937,21.0220229115142,18.3472173134179,17.0180878206481,16.1681421021014,15.4493201637882,0.0691656031675894,0.0715276523394277,0.0757664220727485,0.0786653763347844,0.0775401027634173,0.0699555144707761,0.0777731699438882,0.0754123102438051,0.0768593801430776,0.0909472383984737,0.0909124376823519,0.082174465768336,0.132169404726968,0.130511720119131,0.133218626815111,0.152596970504622,0.152557303446905,0.140627538274381
"4203",409077,3659307,66.6801974821553,65.4033881156184,63.0062238549268,60.5107774706587,62.1895028121657,65.4786320583685,70.1152598956898,73.3364097803744,73.3098368093552,67.2803377566737,13.8384119287942,13.4713127475822,16.1555400857991,16.6439184429372,16.8265324396118,13.7211966744614,10.7743581050986,9.457141525575,10.7321488767732,14.5059712009229,19.7863917637247,19.7454020404774,21.3244155489647,22.8194510947015,21.9531052972228,21.03170304662,18.3211289235221,17.0580124575957,16.2075942061252,15.2474961818807,0.0691368555605957,0.0714152009103234,0.0757339934284083,0.0786890967152741,0.077776381975431,0.0699891511768132,0.0777693950917252,0.0753677185317066,0.0767178625299953,0.0910324026084692,0.0911810209637685,0.0822568076669395,0.132380953128808,0.130631488527195,0.133283668780371,0.152927004281765,0.153267681029383,0.141161048254625
"4204",409078,3659307,66.8027333427718,65.4290575669695,63.0651565169861,60.4505132530893,62.0502280040853,65.4981518114695,70.1861898864184,73.3070430882901,73.0082755592834,66.8388762032895,13.859272805761,13.4528968069188,16.1906100198919,16.6734603210814,16.9630126679992,13.7239769296822,10.7594248619076,9.48411250400632,10.8989611315217,14.6956522480949,19.6993774216948,19.3921570396004,21.3162656424804,22.8572288439766,21.9612237223636,21.0380444843949,18.2886934595321,17.0910047785671,16.2419971536282,15.0382936752681,0.0691084773569873,0.0713115655142403,0.0757107429800241,0.0787219426854033,0.0780019384142295,0.0700185259923146,0.0777683868576319,0.0753307932987859,0.0765976443793951,0.0911256928466102,0.0914464778512875,0.082333578191733,0.132599348362829,0.130760167869661,0.133396445373422,0.153284689991401,0.153988886237589,0.141695175118506
"4205",409079,3659307,66.9260079089254,65.4528722210019,63.1294157694091,60.3802682464654,61.9106633434471,65.5199995635656,70.2777888472805,73.2903104412325,72.7049620850185,66.3986401718301,13.8781485249863,13.4340294346896,16.2279218050187,16.7026397245047,17.1013780255394,13.7226018024958,10.7365416932053,9.51125946711107,11.0679118363033,14.8984775079989,19.6141531590123,18.9804948862627,21.3119619339274,22.904497113901,21.9705441154227,21.0411210299731,18.2505063505524,17.1191349754193,16.2752045482964,14.8296846205024,0.069080770035805,0.0712178520343121,0.0756979031732985,0.0787650647090827,0.078217721448517,0.0700438252454292,0.0777704379246043,0.0753031171904402,0.0765005960719175,0.091227741091462,0.0917109001811698,0.0824046164517158,0.132824728162382,0.130898925281083,0.133559890813634,0.153672350883898,0.154721550010486,0.142228738645591
