Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2014,5/1/2014,2014-p03-3,45,65.84,8.72,25.44,Sandy Clay Loam,0.08947202,0.115095016,0.160374415,408956.3057,3660497.284
2014,5/1/2014,2014-p03-3,75,57.84,10.72,31.44,Sandy Clay Loam,0.099443672,0.119083969,0.18582996,408956.3057,3660497.284
2014,5/1/2014,2014-p03-3,105,63.84,6.72,29.44,Sandy Clay Loam,0.086227078,0.108553893,0.166441137,408956.3057,3660497.284
2014,5/1/2014,2014-p03-3,135,49.84,18.72,31.44,Sandy Clay Loam,0.080464716,0.093059937,0.146770375,408956.3057,3660497.284
2014,5/1/2014,2014-p03-3,165,67.84,10.72,21.44,Sandy Clay Loam,0.061403509,0.071473952,0.097949886,408956.3057,3660497.284
2014,5/1/2014,2014-p03-4,15,57.12,14.16,28.72,Sandy Clay Loam,0.086311531,0.105633803,0.164867882,408955.915,3660468.08
2014,5/1/2014,2014-p03-4,45,67.12,10.16,22.72,Sandy Clay Loam,0.070652174,0.092859242,0.130488179,408955.915,3660468.08
2014,5/1/2014,2014-p03-4,75,73.12,6.16,20.72,Sandy Clay Loam,0.067335707,0.082228916,0.118574582,408955.915,3660468.08
2014,5/1/2014,2014-p03-4,105,59.12,18.16,22.72,Sandy Clay Loam,0.076031367,0.08868974,0.124394673,408955.915,3660468.08
2014,5/1/2014,2014-p03-4,135,73.12,7.44,19.44,Sandy Loam,0.087533156,0.090623911,0.136937431,408955.915,3660468.08
2014,5/1/2014,2014-p03-4,165,73.12,3.44,23.44,Sandy Clay Loam,0.092818428,0.095415118,0.148623279,408955.915,3660468.08
2014,5/1/2014,2014-p03-5,15,57.12,15.44,27.44,Sandy Clay Loam,0.116494083,0.105657805,0.149498633,408955.4428,3660438.877
2014,5/1/2014,2014-p03-5,45,57.12,13.44,29.44,Sandy Clay Loam,0.103132162,0.125269978,0.189511754,408955.4428,3660438.877
2014,5/1/2014,2014-p03-5,75,55.12,17.44,27.44,Sandy Clay Loam,0.094476744,0.137002342,0.220814132,408955.4428,3660438.877
2014,5/1/2014,2014-p03-5,105,53.12,13.44,33.44,Sandy Clay Loam,0.100644699,0.113558678,0.167327804,408955.4428,3660438.877
2014,5/1/2014,2014-p03-5,135,63.12,11.44,25.44,Sandy Clay Loam,0.084384515,0.09543713,0.162479062,408955.4428,3660438.877
2014,5/1/2014,2014-p03-5,165,77.12,11.44,11.44,Sandy Loam,0.085887504,0.085872576,0.134311927,408955.4428,3660438.877
2014,5/1/2014,2014-p03-6,15,61.84,10.72,27.44,Sandy Clay Loam,0.094941634,0.107018763,0.172403901,408955.0118,3660409.674
2014,5/1/2014,2014-p03-6,45,53.84,10.72,35.44,Sandy Clay,0.111541441,0.123529412,0.190493083,408955.0118,3660409.674
2014,5/1/2014,2014-p03-6,75,49.12,17.44,33.44,Sandy Clay Loam,0.101831897,0.133886684,0.213577982,408955.0118,3660409.674
2014,5/1/2014,2014-p03-6,105,59.12,19.44,21.44,Sandy Clay Loam,0.108242304,0.120220462,0.19214183,408955.0118,3660409.674
2014,5/1/2014,2014-p03-6,135,59.12,13.44,27.44,Sandy Clay Loam,0.106110652,0.122340426,0.18961039,408955.0118,3660409.674
2014,5/1/2014,2014-p03-6,165,49.12,25.44,25.44,Sandy Clay Loam,0.119785213,0.146966115,0.243858382,408955.0118,3660409.674
2014,5/1/2014,2014-p04-1,15,50.4,22.72,26.88,Sandy Clay Loam,0.101581722,0.109907121,0.173857462,408926.5573,3660410.107
2014,5/1/2014,2014-p04-1,45,56.4,14.72,28.88,Sandy Clay Loam,0.102739726,0.124137931,0.163029525,408926.5573,3660410.107
2014,5/1/2014,2014-p04-1,75,50.4,20.72,28.88,Sandy Clay Loam,0.118790497,0.133222037,0.186613914,408926.5573,3660410.107
2014,5/1/2014,2014-p04-1,105,42.4,18.72,38.88,Clay Loam,0.10582171,0.132713755,0.225232854,408926.5573,3660410.107
2014,5/1/2014,2014-p04-1,135,55.12,20,24.88,Sandy Clay Loam,0.109310454,0.125788146,0.191397132,408926.5573,3660410.107
2014,5/1/2014,2014-p04-1,165,35.12,26,38.88,Clay Loam,0.141942369,0.159050655,0.24706343,408926.5573,3660410.107
2014,5/1/2014,2014-p04-2,15,55.12,16,28.88,Sandy Clay Loam,0.099157485,0.118305598,0.182022472,408926.9798,3660439.311
2014,5/1/2014,2014-p04-2,45,59.12,12,28.88,Sandy Clay Loam,0.089635854,0.11872,0.131570858,408926.9798,3660439.311
2014,5/1/2014,2014-p04-2,75,64.4,12.72,22.88,Sandy Clay Loam,0.114104596,0.08973173,0.14953271,408926.9798,3660439.311
2014,5/1/2014,2014-p04-2,105,52.4,18.72,28.88,Sandy Clay Loam,0.099239062,0.111429595,0.177364865,408926.9798,3660439.311
2014,5/1/2014,2014-p04-2,135,52.4,22.72,24.88,Sandy Clay Loam,0.094895758,0.106746627,0.167797215,408926.9798,3660439.311
2014,5/1/2014,2014-p04-2,165,50.4,14.72,34.88,Sandy Clay Loam,0.130044843,0.144126739,0.238926174,408926.9798,3660439.311
2014,5/1/2014,2014-p04-3,15,46.4,24.72,28.88,Sandy Clay Loam,0.106826802,0.127557545,0.236083166,408927.4293,3660468.514
