Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,GWC15,GWC05,GWC.3,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2009,2009-05-01,2009-p06-6,15.0,63.67999999999999,15.760000000000005,20.560000000000002,Sandy Clay Loam,0.06824817518248166,0.09839203675344593,0.16622390891840644,0.10919708029197067,0.1574272588055135,0.2659582542694503,407519.3399999998,3660002.500000003
2009,2009-05-01,2009-p06-6,45.0,55.67999999999999,21.760000000000005,22.560000000000002,Sandy Clay Loam,0.07290533188248088,0.10858208955223865,0.18005329272934925,0.11664853101196943,0.17373134328358186,0.2880852683669588,407519.3399999998,3660002.500000003
2009,2009-05-01,2009-p06-6,75.0,56.39999999999999,25.040000000000006,18.560000000000002,Sandy Loam,0.09489315465411075,0.09094846253789524,0.1602229188436083,0.15182904744657721,0.1455175400606324,0.25635667014977326,407519.3399999998,3660002.500000003
2009,2009-05-01,2009-p06-6,105.0,60.4,19.039999999999992,20.560000000000002,Sandy Clay Loam,0.06748466257668732,0.08652751423149882,0.1605744125326371,0.10797546012269972,0.1384440227703981,0.2569190600522194,407519.3399999998,3660002.500000003
2009,2009-05-01,2009-p06-6,135.0,70.03999999999999,15.400000000000006,14.560000000000004,Sandy Loam,0.071899736147757,0.07938874394334738,0.13416052733617684,0.11503957783641122,0.12702199030935582,0.21465684373788296,407519.3399999998,3660002.500000003
2009,2009-05-01,2009-p06-6,165.0,63.67999999999999,15.760000000000005,20.560000000000002,Sandy Clay Loam,0.07787174066243836,0.09789096697174665,0.16120906801007545,0.12459478505990139,0.15662554715479465,0.25793450881612073,407519.3399999998,3660002.500000003
2009,2009-05-01,2009-p06-7,15.0,62.03999999999999,15.400000000000006,22.560000000000002,Sandy Clay Loam,0.0863105765829503,0.10381861575178995,0.15877982010168173,0.1380969225327205,0.16610978520286393,0.2540477121626908,407519.3399999998,3660029.000000003
2009,2009-05-01,2009-p06-7,45.0,67.67999999999999,13.760000000000005,18.560000000000002,Sandy Loam,0.0714285714285714,0.0817438692098092,0.1327771984706294,0.11428571428571424,0.13079019073569473,0.21244351755300706,407519.3399999998,3660029.000000003
2009,2009-05-01,2009-p06-7,75.0,79.67999999999999,9.760000000000005,10.560000000000002,Sandy Loam,0.04834347532116318,0.05757196495619535,0.08259493670886077,0.0773495605138611,0.09211514392991256,0.13215189873417724,407519.3399999998,3660029.000000003
2009,2009-05-01,2009-p06-7,105.0,73.67999999999999,11.760000000000005,14.560000000000004,Sandy Loam,0.058553791887125096,0.06818181818181827,0.11294862772695312,0.09368606701940016,0.10909090909090924,0.180717804363125,407519.3399999998,3660029.000000003
2009,2009-05-01,2009-p06-7,135.0,65.67999999999999,17.760000000000005,16.560000000000002,Sandy Loam,0.06993006993006992,0.08680688336520119,0.16926812348248332,0.11188811188811187,0.13889101338432192,0.2708289975719733,407519.3399999998,3660029.000000003
